bloque,familia,subfamilia,codigo,descripcion,equivalencia_nuevo,equivalencia_existente,equivalencia_unica
Nuevos Negocios,APP-IoT,Tacogest,479184,Licencia Pro- Tacogest IoT – 36 meses,,,132.0
Nuevos Negocios,APP-IoT,Locatel,479181,Licencia Básico - Flotas IoT - 36 meses,,,108.0
Nuevos Negocios,APP-IoT,Locatel,479182,Licencia Mini - Flotas IoT - 36 meses,,,72.0
Nuevos Negocios,APP-IoT,Tacogest,479186,Tacogest+ - Aplicaciones,,,15.0
Nuevos Negocios,Cloud,Google,91403,Enterprise Plus Pago Mensual,,,243.36
Nuevos Negocios,Cloud,Google,91407,Enterprise Plus Flexible,,,40.5
Nuevos Negocios,Cloud,Google,186258,Business Standard Pago Anual,,,81.6
Nuevos Negocios,Cloud,Google,186261,Business Plus Pago Anual,,,126.6
Nuevos Negocios,Cloud,Google,186264,Enterprise Plus Pago Anual,,,202.8
Nuevos Negocios,Cloud,Google,186267,Business Starter Flexible,,,8.1
Nuevos Negocios,Cloud,Google,186270,Business Standard Flexible,,,16.2
Nuevos Negocios,Cloud,Google,186273,Business Starter Pago Mensual,,,44.06
Nuevos Negocios,Cloud,Google,186276,Business Standard Pago Mensual,,,62.14
Nuevos Negocios,Cloud,Google,186279,Business Plus Pago Mensual,,,129.13
Nuevos Negocios,Cloud,Google,186285,Enterprise Standard Pago Mensual,,,187.92
Nuevos Negocios,Cloud,Google,186288,Enterprise Standard Pago Anual,,,156.6
Nuevos Negocios,Cloud,Google,186291,Business Starter Pago Anual,,,40.8
Nuevos Negocios,Cloud,Google,186294,Business Plus Flexible,,,25.3
Nuevos Negocios,Cloud,Google,186297,Enterprise Standard Flexible,,,31.3
Nuevos Negocios,Cloud,Google,377364,Business Standard Pago Mensual (Bundle),,,117.3
Nuevos Negocios,Cloud,M365,273545,Power BI Pro NCE Compromiso Anual -Pago Mensual,,,99.07
Nuevos Negocios,Cloud,M365,287672,Microsoft 365 Business Basic NCE Compromiso Anual -Pago Mensual,,,42.34
Nuevos Negocios,Cloud,M365,287675,Microsoft 365 Business Basic NCE Flexible,,,6.72
Nuevos Negocios,Cloud,M365,287678,Microsoft 365 Business Standard NCE Compromiso Anual -Pago Mensual,,,88.49
Nuevos Negocios,Cloud,M365,287681,Microsoft 365 Business Standard NCE Flexible,,,14.04
Nuevos Negocios,Cloud,M365,287684,Microsoft 365 Business Premium NCE Compromiso Anual -Pago Mensual,,,155.74
Nuevos Negocios,Cloud,M365,287687,Microsoft 365 Business Premium NCE Flexible,,,24.72
Nuevos Negocios,Cloud,M365,287690,Microsoft 365 Apps for Business NCE Compromiso Anual -Pago Mensual,,,74.09
Nuevos Negocios,Cloud,M365,287693,Microsoft 365 Apps for Business NCE Flexible,,,11.76
Nuevos Negocios,Cloud,M365,287726,Office 365 Enterprise E1 NCE Pago Mensual,,,71.06
Nuevos Negocios,Cloud,M365,287729,Office 365 Enterprise E1 NCE Flexible,,,11.28
Nuevos Negocios,Cloud,M365,287732,Microsoft 365 Apps for Enterprise NCE Compromiso Anual -Pago Mensual,,,108.14
Nuevos Negocios,Cloud,M365,287735,Microsoft 365 Apps for Enterprise NCE Flexible,,,17.16
